,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary
220,Pitcher,Chris Archer,x,x,x,x,x,x,180,15,0,196,4.19,1.3,6.732715821,9.303234561,6.226108531,,
221,Pitcher,Mike Soroka,x,x,x,x,x,x,189,18,0,165,4.12,1.3,6.730858911,9.300668692,6.223251296,,
222,Hitter,Albert Pujols,513,62,22,73,2,0.308,x,x,x,x,x,x,6.733884965,9.28616795,6.207103927,,
223,Hitter,Isan Diaz,572,61,19,61,7,0.312,x,x,x,x,x,x,6.72777598,9.277743533,6.197722878,,
224,Hitter,JaCoby Jones,552,62,16,58,12,0.299,x,x,x,x,x,x,6.685175151,9.218996099,6.132304399,,
225,Hitter,A.J. Pollock,449,57,18,59,7,0.316,x,x,x,x,x,x,6.684461104,9.218011413,6.131207897,,
226,Hitter,Nick Ahmed,600,61,18,70,7,0.304,x,x,x,x,x,x,6.637416997,9.153136608,6.058966255,TRUE,3
227,Pitcher,Kirby Yates,x,x,x,x,x,x,65,0,32,89,3.21,1.09,6.614742165,9.140219127,6.044581933,,
228,Pitcher,Liam Hendriks,x,x,x,x,x,x,70,0,30,92,3.18,1.08,6.592386101,9.109327625,6.010182557,TRUE,1
229,Pitcher,Madison Bumgarner,x,x,x,x,x,x,199,16.5,0,192,4.51,1.27,6.578463878,9.090089962,5.988760368,,
230,Hitter,Eric Thames,439,55,19,57,4,0.33,x,x,x,x,x,x,6.585998897,9.082229974,5.980007841,TRUE,4
231,Pitcher,James Paxton,x,x,x,x,x,x,126,13.5,0,147,3.86,1.19,6.567312487,9.074681024,5.971601672,TRUE,2
232,Pitcher,Hyun-Jin Ryu,x,x,x,x,x,x,186,16.5,0,165,4.26,1.26,6.543157977,9.041304437,5.934435019,,
233,Hitter,Mauricio Dubon,556,55,14,58,13,0.305,x,x,x,x,x,x,6.543440418,9.023540944,5.914654397,,
234,Hitter,Domingo Santana,416,52,17,54,5,0.338,x,x,x,x,x,x,6.52797773,9.002217575,5.89090966,,
235,Hitter,Jake Lamb,463,54,18,58,3,0.336,x,x,x,x,x,x,6.512925794,8.98146064,5.867795679,,
236,Hitter,Travis Shaw,434,54,20,58,3,0.329,x,x,x,x,x,x,6.501643484,8.965902099,5.850470392,,
237,Hitter,Victor Reyes,522,58,10,51,15,0.308,x,x,x,x,x,x,6.500914811,8.964897244,5.849351432,,
238,Pitcher,Jon Gray,x,x,x,x,x,x,186,16.5,0,190,4.32,1.32,6.487261851,8.964067438,5.848427397,,
239,Pitcher,Dylan Bundy,x,x,x,x,x,x,178,16.5,0,177,4.47,1.26,6.483253186,8.958528284,5.842259246,,
240,Pitcher,Miles Mikolas,x,x,x,x,x,x,192,16.5,0,153,4.2,1.25,6.456311858,8.921300885,5.800804503,,
241,Pitcher,Garrett Richards,x,x,x,x,x,x,165,15,0,171,3.9,1.33,6.434593933,8.89129116,5.767387032,,
242,Hitter,Gavin Lux,451,52,14,55,8,0.328,x,x,x,x,x,x,6.441570762,8.883060561,5.758221811,,
243,Pitcher,Lance McCullers Jr.,x,x,x,x,x,x,138,15,0,149,3.77,1.29,6.427427655,8.881388832,5.756360249,,
244,Pitcher,Jesus Luzardo,x,x,x,x,x,x,149,15,0,151,3.98,1.26,6.397916678,8.840610704,5.710951574,,
245,Hitter,Giovanny Urshela,550,64,18,70,2,0.311,x,x,x,x,x,x,6.391282465,8.81371195,5.680998342,,
246,Pitcher,Craig Kimbrel,x,x,x,x,x,x,65,0,35,90,3.58,1.2,6.378418791,8.813668617,5.680950088,,
247,Pitcher,Jose Urquidy,x,x,x,x,x,x,168,16.5,0,164,4.48,1.24,6.370797102,8.803137005,5.669222561,,
248,Hitter,Nick Solak,424,51,15,55,5,0.339,x,x,x,x,x,x,6.370472713,8.785014868,5.649042571,,
249,Hitter,Alex Gordon,498,57,13,56,5,0.334,x,x,x,x,x,x,6.341624468,8.745232535,5.604742769,,
250,Pitcher,Kenley Jansen,x,x,x,x,x,x,65,0,37,75,3.84,1.13,6.325133004,8.740038571,5.598959006,,
251,Hitter,Starlin Castro,502,58,15,66,3,0.324,x,x,x,x,x,x,6.33754751,8.739610326,5.598482131,,
252,Hitter,Christin Stewart,494,59,19,60,1,0.327,x,x,x,x,x,x,6.32853973,8.727188409,5.584649647,,
253,Hitter,Mitch Moreland,442,54,22,64,1,0.317,x,x,x,x,x,x,6.281074565,8.661732955,5.511761422,,
