,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary,Inflated_Value
148,Hitter,Mitch Haniger,555,70,22,65,6,0.335,x,x,x,x,x,x,8.212832234,11.32566711,11.86947684,,,14.756420375134006
149,Hitter,Renato Nunez,608,72,29,85,2,0.311,x,x,x,x,x,x,8.194657836000001,11.30060424,11.83040441,,,14.707844586164523
150,Pitcher,Luis Severino,x,x,x,x,x,x,171,18,0,186,3.98,1.21,8.176700273,11.29852538,11.82716352,,,12.615842262874725
151,Pitcher,Chris Paddack,x,x,x,x,x,x,166,16.5,0,178,3.87,1.17,8.165634751,11.28323509,11.80332632,,,12.59041551074772
152,Hitter,Andrelton Simmons,633,71,13,73,11,0.328,x,x,x,x,x,x,8.180146854,11.28059329,11.79920781,,,14.669060219331813
153,Hitter,Kole Calhoun,576,71,23,71,4,0.332,x,x,x,x,x,x,8.175284527,11.27388804,11.78875448,,,14.656064386922404
154,Hitter,Hunter Dozier,628,73,22,81,4,0.322,x,x,x,x,x,x,8.144008799,11.23075816,11.72151601,True,1.0,14.57247189653082
155,Hitter,Daniel Murphy,549,70,20,77,2,0.341,x,x,x,x,x,x,8.119240657,11.19660237,11.66826794,True,1.0,14.506272609428578
156,Hitter,Cesar Hernandez,578,71,11,56,9,0.356,x,x,x,x,x,x,8.114405535,11.18993464,11.6578731,True,6.0,14.493349493200293
157,Hitter,Niko Goodrum,636,72,18,70,13,0.309,x,x,x,x,x,x,8.097084285,11.16604827,11.62063482,True,7.0,14.447053963824043
158,Hitter,Yandy Diaz,586,69,13,63,5,0.361,x,x,x,x,x,x,8.088669804,11.15444453,11.60254485,True,2.0,14.424564076064712
159,Hitter,Dansby Swanson,605,69,18,67,10,0.325,x,x,x,x,x,x,8.075767538,11.13665203,11.57480677,True,3.0,14.390079424854164
160,Hitter,Didi Gregorius,600,70,24,83,6,0.308,x,x,x,x,x,x,8.056320107000001,11.10983362,11.53299749,True,1.0,14.338101117842134
161,Hitter,Randal Grichuk,548,71,30,84,3,0.298,x,x,x,x,x,x,7.992161133,11.02135705,11.3950646,True,4.0,14.166619616522897
162,Pitcher,Andrew Heaney,x,x,x,x,x,x,168,16.5,0,182,4.01,1.18,7.969410645,11.01209356,11.38062303,True,14.0,12.139524811416441
163,Pitcher,Max Fried,x,x,x,x,x,x,172,18,0,178,3.6,1.29,7.967097681,11.00889752,11.37564048,True,3.0,12.134210006665446
164,Pitcher,Lucas Giolito,x,x,x,x,x,x,191,18,0,219,4.26,1.27,7.948412672000001,10.98307866,11.33538949,True,2.0,12.091274932680392
165,Hitter,Ryan McMahon,532,64,20,72,5,0.337,x,x,x,x,x,x,7.96214894,10.97996961,11.33054255,True,6.0,14.08640424510427
166,Pitcher,Lance Lynn,x,x,x,x,x,x,192,18,0,207,4.07,1.28,7.922923532,10.94785789,11.28048113,True,6.0,12.032705081379888
167,Pitcher,Zack Greinke,x,x,x,x,x,x,199,21,0,180,4.27,1.24,7.909266741000001,10.928987,11.25106186,True,4.0,12.001324026304315
168,Hitter,Trent Grisham,522,66,18,56,10,0.335,x,x,x,x,x,x,7.91894674,10.92039288,11.23766382,,,13.970935164009658
169,Hitter,Kevin Kiermaier,555,63,17,62,18,0.302,x,x,x,x,x,x,7.918321625,10.91953083,11.23631991,,,13.969264382628669
170,Hitter,Justin Smoak,472,63,24,68,1,0.349,x,x,x,x,x,x,7.914186344,10.91382819,11.22742963,,,13.958211771742691
171,Hitter,Kyle Tucker,409,56,20,59,14,0.315,x,x,x,x,x,x,7.840619566,10.81237807,11.06927127,,,13.761585477470248
